Time_dec Time_JD TSI[W.m2] Unc TSI_after_corr[W.m2] Unc_after_corr
1.980569472963723456e+03 2.444448000000000000e+06 1.362249402785820848e+03 5.656250000000000470e-04 1.362399190900395297e+03 6.056073028769109199e-04
1.980572210814510527e+03 2.444449000000000000e+06 1.362134902785820714e+03 5.886718750000000024e-04 1.362128167086974599e+03 6.302832910466193506e-04
1.980574948665297825e+03 2.444450000000000000e+06 1.362040102785820864e+03 5.562499999999999953e-04 1.362026187090428039e+03 5.955696127739786971e-04
1.980577686516084896e+03 2.444451000000000000e+06 1.361922602785820800e+03 5.556640624999999514e-04 1.361805857144187485e+03 5.949422571425453179e-04
1.980580424366871966e+03 2.444452000000000000e+06 1.361823802785820817e+03 5.623046874999999790e-04 1.361631036576626002e+03 6.020522876321223859e-04
1.980583162217659037e+03 2.444453000000000000e+06 1.361780702785820722e+03 5.621093750000000005e-04 1.361600917000643221e+03 6.018431690883112957e-04
1.980585900068446335e+03 2.444454000000000000e+06 1.361793002785820818e+03 5.597656250000000418e-04 1.361684716791977962e+03 5.993337465625783213e-04
1.980588637919233406e+03 2.444455000000000000e+06 1.361858602785820722e+03 5.568359375000000392e-04 1.361983267818650120e+03 5.961969684054119678e-04
1.980591375770020477e+03 2.444456000000000000e+06 1.361852802785820813e+03 5.539062500000000366e-04 1.361966096126028333e+03 5.930601902482457227e-04
1.980594113620807775e+03 2.444457000000000000e+06 1.361808602785820767e+03 5.800781249999999731e-04 1.361829810284833229e+03 6.210820751189313803e-04
1.980596851471594846e+03 2.444458000000000000e+06 1.361778202785820895e+03 5.511718750000000125e-04 1.361768230224118497e+03 5.901325306348904594e-04
1.980599589322381917e+03 2.444459000000000000e+06 1.361762402785820768e+03 5.507812499999999471e-04 1.361713248768876838e+03 5.897142935472681705e-04
1.980602327173168987e+03 2.444460000000000000e+06 1.361771102785820858e+03 5.513671874999999910e-04 1.361690092264580471e+03 5.903416491787014412e-04
1.980605065023956286e+03 2.444461000000000000e+06 1.361816302785820881e+03 5.496093749999999677e-04 1.361748550211095335e+03 5.884595822844016291e-04
1.980607802874743356e+03 2.444462000000000000e+06 1.361888502785820720e+03 5.562499999999999953e-04 1.361851061041762250e+03 5.955696127739786971e-04
1.980610540725530427e+03 2.444463000000000000e+06 1.361977302785820712e+03 5.523437499999999918e-04 1.362007339139278429e+03 5.913872418977568924e-04
1.980613278576317498e+03 2.444464000000000000e+06 1.362048102785820902e+03 5.519531250000000349e-04 1.362097573861500678e+03 5.909690048101348204e-04
1.980616016427104796e+03 2.444465000000000000e+06 1.362097602785820754e+03 5.806640625000000170e-04 1.362101085424254279e+03 6.217094307503647594e-04
1.980618754277891867e+03 2.444466000000000000e+06 1.362166002785820865e+03 5.513671874999999910e-04 1.362231180780703880e+03 5.903416491787014412e-04
1.980621492128678938e+03 2.444467000000000000e+06 1.362237002785820778e+03 5.560546875000000168e-04 1.362518435308194512e+03 5.953604942301676068e-04
1.980624229979466008e+03 2.444468000000000000e+06 1.362163602785820785e+03 5.517578124999999480e-04 1.362291313792276924e+03 5.907598862663236217e-04
1.980626967830253307e+03 2.444469000000000000e+06 1.362026602785820842e+03 5.505859374999999686e-04 1.361895204747364232e+03 5.895051750034570803e-04
1.980629705681040377e+03 2.444470000000000000e+06 1.361943102785820884e+03 5.521484375000000134e-04 1.361761929835599631e+03 5.911781233539458022e-04
1.980632443531827448e+03 2.444471000000000000e+06 1.361913102785820911e+03 5.574218749999999747e-04 1.361830907419556524e+03 5.968243240368452385e-04
1.980635181382614746e+03 2.444472000000000000e+06 1.361849202785820808e+03 5.597656250000000418e-04 1.361673910500007878e+03 5.993337465625783213e-04
1.980637919233401817e+03 2.444473000000000000e+06 1.361828102785820874e+03 5.855468750000000213e-04 1.361720007556701148e+03 6.269373943456419069e-04
1.980640657084188888e+03 2.444474000000000000e+06 1.361821102785820813e+03 5.566406249999999523e-04 1.361862023838304594e+03 5.959878498616007691e-04
1.980643394934975959e+03 2.444475000000000000e+06 1.361762302785820793e+03 5.589843750000000194e-04 1.361854737117734430e+03 5.984972723873339603e-04
1.980646132785763257e+03 2.444476000000000000e+06 1.361634702785820764e+03 5.585937499999999540e-04 1.361624861466993934e+03 5.980790352997116715e-04
1.980648870636550328e+03 2.444477000000000000e+06 1.361514902785820823e+03 5.609375000000000212e-04 1.361467898164895132e+03 6.005884578254448627e-04
